Landowners|Budget|Expected Damage|Run Time|Allocation|Levels|Allocation Method|Total Budget Used|Remaining Budget|Maximum Amount Offered|Level Amounts|Area of Each Landowner
4|100000|26.0970103648|174.122222538|[49, 49, 49, 49]|50|Risk-based|86117.347773|13882.652227|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[543.1415, 539.682, 539.682, 539.682]
5|20000|135.624422757|345.596278892|[0, 0, 0, 1, 0]|2|Risk-based|17223.4695546|2776.53044539|39.8288066012|[0.0, 39.8288066012]|[432.4375, 432.4375, 432.4375, 432.4375, 432.4375]
5|20000|128.450436477|347.811337687|[0, 0, 2, 2, 0]|5|Risk-based|17223.4695546|2776.53044539|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[432.4375, 432.4375, 432.4375, 432.4375, 432.4375]
5|20000|124.1311479|342.000044089|[0, 0, 5, 5, 0]|10|Risk-based|19137.188394|862.811605993|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[432.4375, 432.4375, 432.4375, 432.4375, 432.4375]
5|20000|122.321810901|349.60362525|[0, 0, 8, 8, 0]|15|Risk-based|19683.9652053|316.034794736|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[432.4375, 432.4375, 432.4375, 432.4375, 432.4375]
5|20000|121.97092182|350.893968347|[0, 0, 11, 11, 0]|20|Risk-based|19942.9647474|57.035252561|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[432.4375, 432.4375, 432.4375, 432.4375, 432.4375]
5|20000|122.324031936|3421.77876012|[0, 0, 28, 28, 0]|50|Risk-based|19683.9652053|316.034794736|39.8288066012|[0.0, 0.81283278777959189, 1.6256655755591838, 2.4384983633387756, 3.2513311511183676, 4.0641639388979591, 4.8769967266775511, 5.6898295144571431, 6.5026623022367351, 7.3154950900163271, 8.1283278777959183, 8.9411606655755094, 9.7539934533551005, 10.566826241134692, 11.379659028914283, 12.192491816693874, 13.005324604473465, 13.818157392253056, 14.630990180032647, 15.443822967812238, 16.256655755591829, 17.069488543371421, 17.882321331151012, 18.695154118930603, 19.507986906710194, 20.320819694489785, 21.133652482269376, 21.946485270048967, 22.759318057828558, 23.572150845608149, 24.384983633387741, 25.197816421167332, 26.010649208946923, 26.823481996726514, 27.636314784506105, 28.449147572285696, 29.261980360065287, 30.074813147844878, 30.887645935624469, 31.700478723404061, 32.513311511183652, 33.326144298963243, 34.138977086742834, 34.951809874522425, 35.764642662302016, 36.577475450081607, 37.390308237861198, 38.20314102564079, 39.015973813420381, 39.828806601199972]|[432.4375, 432.4375, 432.4375, 432.4375, 432.4375]
5|40000|99.1761330744|344.36655324|[0, 0, 1, 1, 0]|2|Risk-based|34446.9391092|5553.06089079|39.8288066012|[0.0, 39.8288066012]|[432.4375, 432.4375, 432.4375, 432.4375, 432.4375]
5|40000|85.9778514815|349.131334617|[0, 2, 3, 3, 1]|5|Risk-based|38752.8064979|1247.19350214|39.8288066012|[0.0, 9.9572016503, 19.9144033006, 29.8716049509, 39.8288066012]|[432.4375, 432.4375, 432.4375, 432.4375, 432.4375]
5|40000|87.0063621214|349.500043378|[0, 4, 6, 6, 4]|10|Risk-based|38274.376788|1725.62321199|39.8288066012|[0.0, 4.4254229556888891, 8.8508459113777782, 13.276268867066667, 17.701691822755556, 22.127114778444444, 26.552537734133331, 30.977960689822218, 35.403383645511106, 39.828806601199993]|[432.4375, 432.4375, 432.4375, 432.4375, 432.4375]
5|40000|84.6624898155|354.422161307|[0, 7, 9, 10, 6]|15|Risk-based|39367.9304105|632.069589471|39.8288066012|[0.0, 2.8449147572285716, 5.6898295144571431, 8.5347442716857138, 11.379659028914286, 14.224573786142859, 17.069488543371431, 19.914403300600004, 22.759318057828576, 25.604232815057149, 28.449147572285721, 31.294062329514293, 34.138977086742862, 36.983891843971435, 39.828806601200007]|[432.4375, 432.4375, 432.4375, 432.4375, 432.4375]
5|40000|83.5846459188|486.066885158|[0, 10, 13, 13, 8]|20|Risk-based|39885.9294949|114.070505122|39.8288066012|[0.0, 2.0962529790105262, 4.1925059580210524, 6.2887589370315791, 8.3850119160421048, 10.481264895052631, 12.577517874063156, 14.673770853073682, 16.77002383208421, 18.866276811094735, 20.962529790105261, 23.058782769115787, 25.155035748126313, 27.251288727136838, 29.347541706147364, 31.44379468515789, 33.540047664168419, 35.636300643178949, 37.732553622189478, 39.828806601200007]|[432.4375, 432.4375, 432.4375, 432.4375, 432.4375]
